68,2024-03-15,18185,943.19,34.17,600,11.4,86,yoga,cloudy,Sydney,happy,2025-03-08T18:58:42.622-03:00
76,2024-05-01,9136,905.27,27.26,812,5.9,125,cycling,snowy,Tokyo,happy,2025-03-08T18:58:43.683-03:00
54,2024-10-18,9754,142.78,45.93,1024,8.5,83,,rainy,Sydney,happy,2025-03-08T18:58:44.697-03:00
93,2024-06-04,26484,447.31,48.18,817,11.9,89,yoga,sunny,New York,happy,2025-03-08T18:58:45.700-03:00
94,2024-04-17,23170,843.33,29.77,73,6.6,69,cycling,rainy,Sydney,neutral,2025-03-08T18:58:46.704-03:00
41,2024-09-20,1668,34.19,7.25,1376,2.1,50,cycling,sunny,Tokyo,neutral,2025-03-08T18:58:47.708-03:00
18,2024-10-21,3639,490.0,10.03,512,2.9,103,swimming,snowy,Tokyo,neutral,2025-03-08T18:58:48.711-03:00
16,2024-11-10,1248,132.78,32.48,627,6.0,121,cycling,sunny,Tokyo,sad,2025-03-08T18:58:49.714-03:00
65,2024-07-21,9066,486.07,39.24,935,7.4,130,swimming,snowy,Tokyo,sad,2025-03-08T18:58:50.729-03:00
73,2024-09-25,26517,932.57,29.16,806,10.1,73,,cloudy,London,sad,2025-03-08T18:58:51.734-03:00
76,2025-03-03,4564,791.77,6.07,244,4.4,134,cycling,rainy,New York,happy,2025-03-08T18:58:52.745-03:00
68,2024-05-31,19742,402.11,4.9,489,9.9,150,cycling,sunny,New York,sad,2025-03-08T18:58:53.750-03:00
17,2024-03-21,26323,756.2,28.93,1118,7.9,101,running,rainy,New York,neutral,2025-03-08T18:58:54.756-03:00
59,2024-10-16,15870,986.63,37.6,881,2.6,70,swimming,sunny,London,happy,2025-03-08T18:58:55.760-03:00
36,2025-02-18,28654,515.19,47.23,977,10.7,137,cycling,rainy,New York,neutral,2025-03-08T18:58:56.767-03:00
8,2024-06-22,10253,531.7,23.26,1322,0.9,123,swimming,sunny,London,sad,2025-03-08T18:58:57.771-03:00
47,2024-07-30,13266,80.46,20.28,665,8.2,53,swimming,cloudy,New York,neutral,2025-03-08T18:58:58.778-03:00
76,2024-03-25,24156,813.96,37.19,600,10.4,111,yoga,cloudy,Tokyo,sad,2025-03-08T18:58:59.784-03:00
60,2024-06-07,12573,851.31,27.71,508,2.1,117,,sunny,New York,sad,2025-03-08T18:59:00.788-03:00
14,2024-05-08,3530,789.65,48.4,972,10.5,132,running,rainy,Sydney,neutral,2025-03-08T18:59:01.797-03:00
4,2024-04-10,12011,742.08,11.72,1156,9.4,102,yoga,rainy,Tokyo,happy,2025-03-08T18:59:02.806-03:00
72,2024-08-08,27114,300.76,35.84,466,7.9,132,,cloudy,London,neutral,2025-03-08T18:59:03.812-03:00
66,2025-02-05,10542,383.11,15.22,1376,6.7,134,cycling,rainy,London,neutral,2025-03-08T18:59:04.819-03:00
75,2025-03-06,13942,210.84,1.9,665,3.9,79,cycling,snowy,Tokyo,sad,2025-03-08T18:59:05.822-03:00
1,2025-03-04,24557,524.26,25.85,705,11.5,77,swimming,rainy,London,neutral,2025-03-08T18:59:06.825-03:00
8,2024-11-11,4433,23.75,0.71,1370,11.7,129,cycling,rainy,London,happy,2025-03-08T18:59:07.844-03:00
56,2024-12-06,17668,780.49,16.17,1125,7.1,144,,cloudy,New York,neutral,2025-03-08T18:59:08.848-03:00
97,2024-05-02,28085,169.67,40.79,1173,9.7,87,,sunny,Sydney,happy,2025-03-08T18:59:09.854-03:00
33,2024-07-13,12064,9.82,48.88,1092,2.6,128,cycling,rainy,Tokyo,happy,2025-03-08T18:59:10.859-03:00
35,2024-07-01,5108,976.92,49.71,978,2.7,118,running,sunny,Tokyo,sad,2025-03-08T18:59:11.864-03:00
